Noise Percentage;OSETI Sentiment Decline;BERT Sentiment Decline;OSETI Scores (Grouped);BERT Scores (Grouped)
0;1.0;1.0;[-1.0, 0.0, 0.0, 0.3333333333333333, 0.0, 0.3333333333333333, 0.0, -1.0, 0.0, 0.0, 0.0, -1.0, 1.0, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0, -1.0, 1.0, -1.0, 0.0, 1.0, -1.0, 0.0, 0.0, -1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, -1.0];[-0.9952048063278198, 0.7707462310791016, 0.6797476410865784, 0.879416286945343, 0.9681717753410339, -0.4455021619796753, 0.0, -0.8155440092086792, 0.8700678944587708, 0.5586632490158081, -0.9921316504478455, -0.9219062924385071, 0.0, 0.0, 0.9032681584358215, 0.7475497722625732, 0.9849271774291992, 0.9953533411026001, -0.9783017635345459, 0.0, 0.0, 0.980801522731781, -0.9781851768493652, -0.9982160925865173, -0.9750084280967712, 0.4625052809715271, -0.7704405188560486, 0.9570198059082031, 0.0, 0.981509804725647, 0.5719424486160278, 0.9754000306129456, 0.5359684228897095, 0.0, 0.4142419695854187]
5;1.0;1.0;[-1.0, 0.0, 0.0, 0.3333333333333333, 0.0, 0.3333333333333333, 0.0, -1.0, 0.0, 0.0, 0.0, -1.0, 1.0, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0, -1.0, 1.0, -1.0, 0.0, 1.0, -1.0, 0.0, 0.0, -1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, -1.0];[-0.9952048063278198, 0.7707462310791016, 0.6797476410865784, 0.879416286945343, 0.9681717753410339, -0.4455021619796753, 0.0, -0.8155440092086792, 0.8700678944587708, 0.5586632490158081, -0.9921316504478455, -0.9219062924385071, 0.0, 0.0, 0.9032681584358215, 0.7475497722625732, 0.9849271774291992, 0.9953533411026001, -0.9783017635345459, 0.0, 0.0, 0.980801522731781, -0.9781851768493652, -0.9982160925865173, -0.9750084280967712, 0.4625052809715271, -0.7704405188560486, 0.9570198059082031, 0.0, 0.981509804725647, 0.5719424486160278, 0.9754000306129456, 0.5359684228897095, 0.0, 0.4142419695854187]
10;1.0;1.0;[-1.0, 0.0, 0.0, 0.3333333333333333, 0.0, 0.3333333333333333, 0.0, -1.0, 0.0, 0.0, 0.0, -1.0, 1.0, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0, -1.0, 1.0, -1.0, 0.0, 1.0, -1.0, 0.0, 0.0, -1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, -1.0];[-0.9952048063278198, 0.7707462310791016, 0.6797476410865784, 0.879416286945343, 0.9681717753410339, -0.4455021619796753, 0.0, -0.8155440092086792, 0.8700678944587708, 0.5586632490158081, -0.9921316504478455, -0.9219062924385071, 0.0, 0.0, 0.9032681584358215, 0.7475497722625732, 0.9849271774291992, 0.9953533411026001, -0.9783017635345459, 0.0, 0.0, 0.980801522731781, -0.9781851768493652, -0.9982160925865173, -0.9750084280967712, 0.4625052809715271, -0.7704405188560486, 0.9570198059082031, 0.0, 0.981509804725647, 0.5719424486160278, 0.9754000306129456, 0.5359684228897095, 0.0, 0.4142419695854187]
15;1.0;1.0;[-1.0, 0.0, 0.0, 0.3333333333333333, 0.0, 0.3333333333333333, 0.0, -1.0, 0.0, 0.0, 0.0, -1.0, 1.0, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0, -1.0, 1.0, -1.0, 0.0, 1.0, -1.0, 0.0, 0.0, -1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, -1.0];[-0.9952048063278198, 0.7707462310791016, 0.6797476410865784, 0.879416286945343, 0.9681717753410339, -0.4455021619796753, 0.0, -0.8155440092086792, 0.8700678944587708, 0.5586632490158081, -0.9921316504478455, -0.9219062924385071, 0.0, 0.0, 0.9032681584358215, 0.7475497722625732, 0.9849271774291992, 0.9953533411026001, -0.9783017635345459, 0.0, 0.0, 0.980801522731781, -0.9781851768493652, -0.9982160925865173, -0.9750084280967712, 0.4625052809715271, -0.7704405188560486, 0.9570198059082031, 0.0, 0.981509804725647, 0.5719424486160278, 0.9754000306129456, 0.5359684228897095, 0.0, 0.4142419695854187]
20;1.0;1.0;[-1.0, 0.0, 0.0, 0.3333333333333333, 0.0, 0.3333333333333333, 0.0, -1.0, 0.0, 0.0, 0.0, -1.0, 1.0, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0, -1.0, 1.0, -1.0, 0.0, 1.0, -1.0, 0.0, 0.0, -1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, -1.0];[-0.9952048063278198, 0.7707462310791016, 0.6797476410865784, 0.879416286945343, 0.9681717753410339, -0.4455021619796753, 0.0, -0.8155440092086792, 0.8700678944587708, 0.5586632490158081, -0.9921316504478455, -0.9219062924385071, 0.0, 0.0, 0.9032681584358215, 0.7475497722625732, 0.9849271774291992, 0.9953533411026001, -0.9783017635345459, 0.0, 0.0, 0.980801522731781, -0.9781851768493652, -0.9982160925865173, -0.9750084280967712, 0.4625052809715271, -0.7704405188560486, 0.9570198059082031, 0.0, 0.981509804725647, 0.5719424486160278, 0.9754000306129456, 0.5359684228897095, 0.0, 0.4142419695854187]
25;1.0;1.0;[-1.0, 0.0, 0.0, 0.3333333333333333, 0.0, 0.3333333333333333, 0.0, -1.0, 0.0, 0.0, 0.0, -1.0, 1.0, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0, -1.0, 1.0, -1.0, 0.0, 1.0, -1.0, 0.0, 0.0, -1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, -1.0];[-0.9952048063278198, 0.7707462310791016, 0.6797476410865784, 0.879416286945343, 0.9681717753410339, -0.4455021619796753, 0.0, -0.8155440092086792, 0.8700678944587708, 0.5586632490158081, -0.9921316504478455, -0.9219062924385071, 0.0, 0.0, 0.9032681584358215, 0.7475497722625732, 0.9849271774291992, 0.9953533411026001, -0.9783017635345459, 0.0, 0.0, 0.980801522731781, -0.9781851768493652, -0.9982160925865173, -0.9750084280967712, 0.4625052809715271, -0.7704405188560486, 0.9570198059082031, 0.0, 0.981509804725647, 0.5719424486160278, 0.9754000306129456, 0.5359684228897095, 0.0, 0.4142419695854187]
30;1.0;1.0;[-1.0, 0.0, 0.0, 0.3333333333333333, 0.0, 0.3333333333333333, 0.0, -1.0, 0.0, 0.0, 0.0, -1.0, 1.0, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0, -1.0, 1.0, -1.0, 0.0, 1.0, -1.0, 0.0, 0.0, -1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, -1.0];[-0.9952048063278198, 0.7707462310791016, 0.6797476410865784, 0.879416286945343, 0.9681717753410339, -0.4455021619796753, 0.0, -0.8155440092086792, 0.8700678944587708, 0.5586632490158081, -0.9921316504478455, -0.9219062924385071, 0.0, 0.0, 0.9032681584358215, 0.7475497722625732, 0.9849271774291992, 0.9953533411026001, -0.9783017635345459, 0.0, 0.0, 0.980801522731781, -0.9781851768493652, -0.9982160925865173, -0.9750084280967712, 0.4625052809715271, -0.7704405188560486, 0.9570198059082031, 0.0, 0.981509804725647, 0.5719424486160278, 0.9754000306129456, 0.5359684228897095, 0.0, 0.4142419695854187]
35;1.0;1.0;[-1.0, 0.0, 0.0, 0.3333333333333333, 0.0, 0.3333333333333333, 0.0, -1.0, 0.0, 0.0, 0.0, -1.0, 1.0, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0, -1.0, 1.0, -1.0, 0.0, 1.0, -1.0, 0.0, 0.0, -1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, -1.0];[-0.9952048063278198, 0.7707462310791016, 0.6797476410865784, 0.879416286945343, 0.9681717753410339, -0.4455021619796753, 0.0, -0.8155440092086792, 0.8700678944587708, 0.5586632490158081, -0.9921316504478455, -0.9219062924385071, 0.0, 0.0, 0.9032681584358215, 0.7475497722625732, 0.9849271774291992, 0.9953533411026001, -0.9783017635345459, 0.0, 0.0, 0.980801522731781, -0.9781851768493652, -0.9982160925865173, -0.9750084280967712, 0.4625052809715271, -0.7704405188560486, 0.9570198059082031, 0.0, 0.981509804725647, 0.5719424486160278, 0.9754000306129456, 0.5359684228897095, 0.0, 0.4142419695854187]
40;1.0;1.0;[-1.0, 0.0, 0.0, 0.3333333333333333, 0.0, 0.3333333333333333, 0.0, -1.0, 0.0, 0.0, 0.0, -1.0, 1.0, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0, -1.0, 1.0, -1.0, 0.0, 1.0, -1.0, 0.0, 0.0, -1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, -1.0];[-0.9952048063278198, 0.7707462310791016, 0.6797476410865784, 0.879416286945343, 0.9681717753410339, -0.4455021619796753, 0.0, -0.8155440092086792, 0.8700678944587708, 0.5586632490158081, -0.9921316504478455, -0.9219062924385071, 0.0, 0.0, 0.9032681584358215, 0.7475497722625732, 0.9849271774291992, 0.9953533411026001, -0.9783017635345459, 0.0, 0.0, 0.980801522731781, -0.9781851768493652, -0.9982160925865173, -0.9750084280967712, 0.4625052809715271, -0.7704405188560486, 0.9570198059082031, 0.0, 0.981509804725647, 0.5719424486160278, 0.9754000306129456, 0.5359684228897095, 0.0, 0.4142419695854187]
45;1.0;1.0;[-1.0, 0.0, 0.0, 0.3333333333333333, 0.0, 0.3333333333333333, 0.0, -1.0, 0.0, 0.0, 0.0, -1.0, 1.0, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0, -1.0, 1.0, -1.0, 0.0, 1.0, -1.0, 0.0, 0.0, -1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, -1.0];[-0.9952048063278198, 0.7707462310791016, 0.6797476410865784, 0.879416286945343, 0.9681717753410339, -0.4455021619796753, 0.0, -0.8155440092086792, 0.8700678944587708, 0.5586632490158081, -0.9921316504478455, -0.9219062924385071, 0.0, 0.0, 0.9032681584358215, 0.7475497722625732, 0.9849271774291992, 0.9953533411026001, -0.9783017635345459, 0.0, 0.0, 0.980801522731781, -0.9781851768493652, -0.9982160925865173, -0.9750084280967712, 0.4625052809715271, -0.7704405188560486, 0.9570198059082031, 0.0, 0.981509804725647, 0.5719424486160278, 0.9754000306129456, 0.5359684228897095, 0.0, 0.4142419695854187]
